polymer,convention,solute,solvent,A_logP_concentration,B_logP_concentration,delta_B_minus_A,A_logP_x,B_logP_x,sign_changed
evoh,existing,BBP,heptane,0.17712280159249844,-0.046263588211964524,-0.22338638980446296,-0.132430337017083,-0.37229552625312057,True
evoh,existing,BBP,hexane,0.12186055664134147,-0.12603786637369888,-0.24789842301504034,-0.07289112881920855,-0.3144508423968991,True
evoh,existing,DEHP,acetic acid,0.12075660229575913,-0.31466621334043365,-0.4354228156361928,-0.5403006039150025,-0.9810085359472858,True
evoh,existing,DEHP,methanol,0.18156283288506536,-0.13644263799609968,-0.31800547088116504,-0.5228503326282014,-0.8345170940720165,True
nylon6,existing,DEP,cyclohexanol,-0.08764227055060192,0.004138117169440125,0.09178038772004204,-0.6395428521301583,-0.5418013325340644,True
nylon6,existing,DEHP,acetic acid,0.007777520091867385,-0.23896332077055593,-0.24674084086242332,-0.9164785582247341,-1.1688820930445458,True
nylon6,existing,DEHP,methanol,0.06858375068117362,-0.06073974542622196,-0.12932349610739557,-0.899028286937933,-1.0223906511692766,True
nylon66,existing,DEP,"1,2-propanediol",-0.19557444086976572,0.043899051280533063,0.23947349215029878,-0.9813879933678593,-0.7588637116548979,True
nylon66,existing,DEP,cyclohexanol,-0.06734455810977835,0.0939259943587405,0.16127055246851885,-0.6198160769432677,-0.4522622761750479,True
nylon66,existing,DBP,"1,2-propanediol",-0.27911954794091165,0.09900388975733354,0.3781234376982452,-1.0649331004390052,-0.7037588731780974,True
nylon66,existing,BBP,"1,2-propanediol",-0.2072324896008454,0.058309745256913015,0.2655422348577584,-0.993046042098939,-0.7444530176785179,True
nylon66,existing,DEHP,"1,2-propanediol",-0.30475168648200057,0.06809688341479025,0.3728485698967908,-1.0905652389800942,-0.7346658795206407,True
nylon66,existing,DEHP,acetic acid,0.13721566593258727,-0.014401220279930405,-0.15161688621251768,-0.7876113496379472,-0.9445688133842042,True
pe,existing,DEP,"1,2-propanediol",-0.05102453538107965,0.056301025889993195,0.10732556127107284,-0.4600742108058904,-0.3709004135825964,True
pe,existing,DEP,cyclohexane,0.043698664197140524,-0.019868452035102513,-0.06356711623224304,-0.27566388554622573,-0.3454492687634233,True
pe,existing,DBP,cyclohexanol,-0.06439239869161492,0.017003342020507184,0.0813957407121221,-0.2401000404518215,-0.1536236050504399,True
pe,existing,BBP,methanol,0.15363857257490193,-0.028925679777022317,-0.18256425235192425,-0.43778052522485483,-0.6152640828875195,True
pe,existing,DEHP,acetylacetone,0.018628454105740377,-0.5280587480469332,-0.5466872021526736,-0.2710651535331763,-0.8360410951649483,True
pe,existing,DEHP,dimethyl sulfoxide,0.09456767459095727,-0.38664365038910664,-0.4812113249800639,-0.3311085673266701,-0.8284141378274095,True
pe,existing,DEHP,heptane,0.20853056777017087,-0.04243786405014155,-0.2509684318203124,0.011971496874099352,-0.25673374912587804,True
pe,existing,DEHP,hexane,0.17774055623275878,-0.08685135324583775,-0.2645919094785965,0.09598293848571861,-0.16352827630361846,True
pe,existing,DEHP,tert-butanol,0.22216305415721618,-0.0795520447983264,-0.3017150989555426,-0.1380316635222086,-0.46236271995126177,True
pp,existing,DBP,1-propanol,-0.04558471318826551,0.01984415530229544,0.06542886849056095,-0.707166558899635,-0.6514565580613565,True
pp,existing,DBP,acetylacetone,0.19153532949986984,-0.005156226572667788,-0.19669155607253763,-0.3024564317997751,-0.5159372845864486,True
pp,existing,DBP,cyclohexane,0.046340127068532966,-0.027531356899194948,-0.07387148396772791,-0.4773205763355616,-0.5559108845232814,True
pp,existing,DBP,isopropanol,-0.026965637691472533,0.06828204768684343,0.09524768537831596,-0.685495683081672,-0.6044376233954979,True
pp,existing,BBP,acetic acid,0.20820541425586647,-0.1401927218999205,-0.34839813615578696,-0.5441558779021134,-0.8975977024371188,True
pp,existing,BBP,cyclohexane,0.09363267475995962,-0.007935524707848973,-0.1015681994678086,-0.4300280286441349,-0.5363150523319354,True
pp,existing,DEHP,heptane,0.000803372215666065,-0.16715373651920473,-0.1679571087348708,-0.4000538523411337,-0.584248332490707,True
